loan_amount,interest_rate,grade,homeownership,debt_to_income
8000,6.71,A,RENT,7.2
4000,9.43,B,RENT,2.42
30000,13.59,C,RENT,34.13
20000,6.08,A,RENT,17.68
24000,7.96,A,MORTGAGE,18.01
4000,7.35,A,RENT,25.65
14000,10.9,B,RENT,10.19
24000,6.07,A,MORTGAGE,24.17
2800,19.03,D,RENT,5.44
32000,14.08,C,MORTGAGE,9.49
12000,10.42,B,MORTGAGE,27.7
9600,9.44,B,MORTGAGE,1.45
9600,5.31,A,MORTGAGE,9.78
3500,7.97,A,RENT,11.81
8000,5.32,A,MORTGAGE,14.44
12000,10.91,B,MORTGAGE,31.18
32400,10.91,B,MORTGAGE,38.98
3600,19.03,D,MORTGAGE,128.61
15000,12.61,C,RENT,14.72
8300,13.59,C,MORTGAGE,17.58
25600,5.32,A,MORTGAGE,20.57
20000,13.58,C,RENT,22.64
27900,16.01,C,MORTGAGE,9.92
4000,7.35,A,MORTGAGE,14.52
1000,9.92,B,MORTGAGE,18.61
24000,9.43,B,MORTGAGE,16.82
40000,7.35,A,MORTGAGE,13.22
22000,9.43,B,MORTGAGE,7.84
6400,9.44,B,RENT,5.65
12000,17.09,D,RENT,24.8
30000,18.06,D,MORTGAGE,24.42
12000,21.85,D,OWN,18.08
20000,6.72,A,RENT,10.66
24000,9.43,B,MORTGAGE,21.22
38400,10.42,B,MORTGAGE,16.19
10000,15.04,C,MORTGAGE,10.15
30000,18.06,D,RENT,2.59
9000,15.04,C,RENT,12.86
28000,13.59,C,RENT,33.84
29000,7.35,A,MORTGAGE,204.13
5000,15.05,C,RENT,3.83
26000,26.77,E,RENT,27.7
25000,7.35,A,MORTGAGE,7.81
25000,11.98,B,OWN,17.98
14000,13.59,C,RENT,22.57
6000,11.98,B,RENT,9.14
12000,7.35,A,RENT,36.45
20000,9.92,B,MORTGAGE,13.6
10000,14.08,C,RENT,30.38
10000,9.93,B,MORTGAGE,15.34
5000,17.47,D,RENT,16.66
10000,9.43,B,MORTGAGE,16.55
10000,7.97,A,OWN,6.88
15000,9.43,B,OWN,19.97
17000,14.08,C,RENT,24.34
19475,7.97,A,MORTGAGE,19.95
10000,14.07,C,RENT,17.23
8000,9.93,B,MORTGAGE,80.75
10000,10.42,B,RENT,11.62
16000,25.82,E,RENT,20.16
14000,25.82,E,MORTGAGE,34.02
11300,7.35,A,MORTGAGE,19.71
15000,15.05,C,MORTGAGE,19.95
10000,7.96,A,RENT,15.53
25000,13.58,C,OWN,38.29
15000,16.01,C,MORTGAGE,35.5
19200,7.34,A,MORTGAGE,34.38
14000,6.08,A,MORTGAGE,9.53
13000,12.61,C,RENT,27.92
28000,16.02,C,MORTGAGE,25.31
26000,11.99,B,MORTGAGE,18.57
7000,6.08,A,RENT,20.05
25000,30.79,G,RENT,23.97
20000,16.02,C,OWN,30.51
20000,12.61,C,RENT,21.92
12000,12.61,C,MORTGAGE,14.24
8650,14.08,C,RENT,6.79
7500,17.09,D,RENT,3.82
21000,7.96,A,MORTGAGE,14.4
12000,10.42,B,OWN,4.66
10000,7.34,A,OWN,26.04
25000,9.92,B,MORTGAGE,26.4
8500,6.72,A,OWN,17.67
18000,10.42,B,RENT,24.06
18000,6.71,A,RENT,16.39
9500,16.01,C,RENT,17.16
20000,14.08,C,MORTGAGE,23.88
10000,10.9,B,RENT,8.79
30000,5.31,A,MORTGAGE,13.5
28000,17.47,D,RENT,27.72
25000,9.93,B,MORTGAGE,29.58
30000,9.43,B,MORTGAGE,12.95
40000,14.08,C,RENT,14.66
8000,7.97,A,RENT,25.18
12000,7.35,A,RENT,8.02
12000,15.05,C,RENT,18.5
8000,14.07,C,RENT,19.8
10000,11.99,B,MORTGAGE,13.08
6650,5.31,A,RENT,9.17
10000,5.32,A,MORTGAGE,6.36
5200,11.99,B,RENT,22.86
15525,15.04,C,RENT,12.52
6000,6.72,A,MORTGAGE,9.8
5000,7.97,A,RENT,9.93
3500,5.32,A,MORTGAGE,18.98
15000,22.91,E,MORTGAGE,22.66
21625,10.91,B,RENT,16.72
11200,15.05,C,MORTGAGE,33.01
40000,7.35,A,MORTGAGE,14.16
10000,11.99,B,MORTGAGE,3.76
36000,9.93,B,RENT,17.74
17000,20,D,RENT,19.85
9000,13.59,C,MORTGAGE,11.66
28000,26.77,E,RENT,8.64
15000,16.01,C,RENT,35.12
7000,5.31,A,RENT,5.25
20000,21.85,D,MORTGAGE,10.8
1000,11.99,B,RENT,3.04
7000,6.08,A,MORTGAGE,21.62
5000,19.03,D,RENT,34.04
30000,7.35,A,MORTGAGE,21.52
6000,7.96,A,MORTGAGE,22.14
20000,20.39,D,OWN,33.37
20000,15.05,C,OWN,92.67
12000,7.96,A,MORTGAGE,17.64
5000,5.32,A,RENT,18.42
15000,14.08,C,RENT,30.62
15000,18.45,D,RENT,13.23
5000,6.72,A,OWN,34.72
13000,17.09,D,RENT,13.08
17975,10.9,B,OWN,37.46
28275,13.58,C,RENT,27.03
11000,14.08,C,MORTGAGE,3.85
25000,6.72,A,MORTGAGE,25.73
3300,9.43,B,OWN,9.2
30000,11.99,B,RENT,27.16
7200,11.98,B,RENT,9.69
30000,10.42,B,MORTGAGE,16.02
25000,11.98,B,RENT,7.05
20000,7.96,A,RENT,27.2
4000,9.93,B,MORTGAGE,11.22
40000,9.43,B,RENT,13.42
40000,10.41,B,RENT,17.22
13000,7.34,A,RENT,15.67
15000,14.07,C,RENT,18.19
27000,10.42,B,RENT,14.11
13000,7.97,A,MORTGAGE,20.27
15000,21.45,D,MORTGAGE,10.91
3000,21.45,D,RENT,1.8
21600,26.77,E,MORTGAGE,19.66
35000,20.39,D,MORTGAGE,27.48
2500,10.42,B,RENT,24.28
4000,17.47,D,RENT,12.36
10000,7.34,A,MORTGAGE,21.53
6400,7.35,A,RENT,14.08
6900,17.09,D,RENT,9.84
6000,13.59,C,MORTGAGE,38.49
3000,6.07,A,MORTGAGE,1.98
10000,9.93,B,OWN,55.61
12000,9.44,B,MORTGAGE,11.06
16000,11.99,B,MORTGAGE,39.03
30000,25.82,E,RENT,29.17
10800,19.03,D,RENT,27.43
12000,10.41,B,RENT,12.13
6000,12.61,C,RENT,7.06
6500,6.71,A,MORTGAGE,2.96
6000,10.42,B,RENT,5.78
7500,18.06,D,RENT,32.86
10000,6.08,A,RENT,10.6
27500,7.97,A,RENT,11.2
25875,24.85,E,MORTGAGE,44.35
6000,15.04,C,RENT,16.11
40000,21.45,D,MORTGAGE,10.15
2500,17.09,D,RENT,23.35
7000,20,D,RENT,4.87
8000,9.44,B,RENT,8.25
12000,15.04,C,OWN,16.49
15000,20.39,D,MORTGAGE,16.05
4000,7.97,A,RENT,5.83
6500,11.98,B,RENT,21.5
40000,6.07,A,OWN,2.58
32000,21.45,D,MORTGAGE,41.51
10000,9.44,B,RENT,11.83
15000,9.43,B,RENT,5.03
12000,21.85,D,MORTGAGE,10.67
24000,11.99,B,MORTGAGE,7.52
15000,10.42,B,RENT,17.25
15000,13.59,C,RENT,37.73
10000,7.35,A,MORTGAGE,16.12
8000,6.71,A,RENT,10.8
6300,9.44,B,MORTGAGE,17.75
4500,6.72,A,MORTGAGE,18.85
30000,7.97,A,MORTGAGE,26.03
12000,15.05,C,RENT,28.5
16000,6.72,A,MORTGAGE,14.8
24000,5.32,A,OWN,6.78
15000,17.47,D,OWN,13.53
15000,15.05,C,MORTGAGE,16.83
14000,10.91,B,OWN,16.05
35000,21.45,D,RENT,19.15
12000,5.32,A,MORTGAGE,10.78
35000,12.62,C,MORTGAGE,8.93
10000,12.61,C,MORTGAGE,12.37
5000,10.91,B,RENT,3.85
36500,5.32,A,MORTGAGE,12.5
4800,7.96,A,MORTGAGE,1.64
25000,11.99,B,MORTGAGE,469.09
20000,6.08,A,MORTGAGE,23.15
2400,13.58,C,MORTGAGE,18.65
6000,7.35,A,RENT,23.46
20000,7.97,A,MORTGAGE,14.96
24000,10.42,B,MORTGAGE,12.23
15000,6.71,A,RENT,13.96
20000,5.31,A,MORTGAGE,10.4
11000,12.61,C,RENT,8.29
7500,25.82,E,MORTGAGE,25.76
14800,18.06,D,MORTGAGE,37.87
20000,9.44,B,RENT,12.31
10000,19.03,D,RENT,21.29
22000,5.32,A,MORTGAGE,20.76
10000,11.99,B,MORTGAGE,0.88
13000,7.96,A,RENT,20.44
32000,18.45,D,MORTGAGE,32.67
32000,28.72,F,MORTGAGE,75.45
20000,9.92,B,MORTGAGE,26.11
2050,7.96,A,RENT,10.83
12000,13.58,C,OWN,15.81
12000,7.34,A,RENT,28.19
12000,9.43,B,OWN,18.5
5400,15.05,C,MORTGAGE,18.73
6000,11.98,B,RENT,5.78
7400,13.59,C,RENT,29.4
8000,14.08,C,RENT,22.67
12000,14.07,C,RENT,21.34
10000,16.01,C,OWN,16.65
40000,9.43,B,MORTGAGE,83.4
9500,9.93,B,RENT,14.31
15000,12.61,C,OWN,14.22
14000,14.08,C,RENT,29.67
10000,16.02,C,MORTGAGE,24.71
35000,19.03,D,MORTGAGE,17.59
11500,9.93,B,RENT,30.97
21975,7.96,A,MORTGAGE,16.27
12000,10.91,B,MORTGAGE,4.57
23000,18.06,D,RENT,19.45
10000,5.31,A,RENT,14.49
40000,11.98,B,MORTGAGE,13.23
20000,21.85,D,RENT,32.77
10000,7.35,A,MORTGAGE,25.01
40000,9.93,B,MORTGAGE,11.39
15000,6.08,A,OWN,20.28
8000,16.01,C,OWN,17.78
6025,10.9,B,RENT,4.4
30000,7.35,A,RENT,3.92
20000,9.93,B,RENT,27.4
35000,6.72,A,MORTGAGE,16.53
12000,9.92,B,MORTGAGE,11.08
15000,21.45,D,RENT,18.36
13000,21.85,D,RENT,10.72
20000,20,D,MORTGAGE,21.34
1600,10.9,B,OWN,25.76
6000,13.58,C,OWN,21.93
30000,21.85,D,OWN,5.36
15000,10.9,B,OWN,28.28
3000,10.42,B,RENT,6.84
39600,22.91,E,MORTGAGE,29.53
5000,12.62,C,OWN,9.08
18875,14.07,C,MORTGAGE,33.62
40000,15.05,C,MORTGAGE,28.61
15000,9.93,B,MORTGAGE,20.12
6000,16.01,C,RENT,29.49
12500,12.62,C,MORTGAGE,33.14
9500,7.35,A,MORTGAGE,15.09
13000,15.04,C,MORTGAGE,17.75
20000,9.44,B,RENT,41.44
35000,16.01,C,MORTGAGE,5.74
7000,10.9,B,RENT,11.24
16700,6.72,A,RENT,37.03
15000,9.93,B,RENT,18.18
40000,11.99,B,MORTGAGE,13.67
24000,9.93,B,MORTGAGE,13
4000,10.41,B,RENT,24.29
35000,13.59,C,MORTGAGE,24.81
9525,15.05,C,MORTGAGE,20.96
13500,14.08,C,RENT,16.34
20000,19.03,D,RENT,13.97
10000,6.08,A,RENT,22.08
3500,11.99,B,OWN,23.05
9000,5.31,A,MORTGAGE,10.97
15000,12.62,C,MORTGAGE,34.55
5000,13.59,C,RENT,12.89
5000,13.59,C,RENT,15.26
2200,11.98,B,OWN,34.83
10000,14.08,C,MORTGAGE,37.22
2000,15.05,C,RENT,12.47
6025,12.62,C,RENT,9.76
28000,10.9,B,MORTGAGE,4.57
10000,10.9,B,MORTGAGE,12.33
38400,6.72,A,RENT,9.43
40000,9.92,B,OWN,10.07
18000,16.02,C,RENT,12.22
10000,9.43,B,RENT,2.2
27000,11.99,B,OWN,19.66
15000,13.59,C,RENT,37.95
24000,6.72,A,RENT,20.57
10000,13.58,C,RENT,28.46
6250,9.92,B,OWN,13.63
25000,10.41,B,MORTGAGE,14.91
4000,10.91,B,RENT,5.3
36000,12.61,C,RENT,32.85
12000,10.91,B,MORTGAGE,10.94
20000,6.07,A,RENT,10.15
20000,10.42,B,RENT,11.12
16000,9.43,B,MORTGAGE,17.84
21000,6.08,A,MORTGAGE,58.92
20000,10.91,B,MORTGAGE,21.6
7200,6.07,A,OWN,19.4
22000,9.44,B,RENT,23.57
10000,16.02,C,RENT,14.66
8500,10.42,B,MORTGAGE,6.07
15000,9.44,B,MORTGAGE,25.17
5000,7.34,A,RENT,7.88
30000,19.42,D,MORTGAGE,16.89
21000,15.05,C,RENT,14.26
20000,16.02,C,MORTGAGE,8.88
21600,16.02,C,RENT,16.06
28000,14.07,C,RENT,10.52
35000,10.41,B,MORTGAGE,18.42
5000,14.08,C,MORTGAGE,32.34
6000,11.99,B,MORTGAGE,30.83
25000,10.42,B,RENT,11.96
15000,13.59,C,MORTGAGE,44.07
8000,6.08,A,MORTGAGE,32.48
35200,6.71,A,MORTGAGE,29.87
6000,10.42,B,MORTGAGE,19.24
6000,7.34,A,OWN,19.76
10000,17.47,D,RENT,20.68
35000,9.93,B,OWN,9.94
35000,17.09,D,MORTGAGE,1.43
24000,12.62,C,MORTGAGE,20.38
15000,21.45,D,RENT,1.12
2000,7.97,A,RENT,36.35
40000,9.93,B,MORTGAGE,7.19
7500,7.96,A,RENT,6.65
10000,6.72,A,OWN,28.74
24000,16.01,C,OWN,30.81
10000,7.96,A,RENT,7.42
9500,10.42,B,MORTGAGE,21.62
11500,6.08,A,MORTGAGE,6.24
18000,6.72,A,OWN,22.18
10000,5.31,A,MORTGAGE,25.63
6000,10.42,B,MORTGAGE,34
30000,25.81,E,MORTGAGE,36.74
15000,7.35,A,RENT,27.23
14000,10.9,B,MORTGAGE,5.85
9500,5.32,A,OWN,16.24
10000,16.02,C,MORTGAGE,18.24
6000,9.92,B,RENT,25.05
30000,6.71,A,RENT,2.69
10000,14.08,C,RENT,27.97
12000,9.44,B,RENT,18.2
16000,16.02,C,MORTGAGE,20.61
24000,10.42,B,MORTGAGE,10.96
4000,7.97,A,RENT,20.5
8500,16.02,C,MORTGAGE,20.45
3100,9.43,B,MORTGAGE,18.04
20000,11.98,B,MORTGAGE,12.56
25000,10.9,B,OWN,29.25
21000,6.71,A,RENT,10.5
8000,6.71,A,RENT,13.44
30000,19.03,D,MORTGAGE,16.96
20400,23.88,E,MORTGAGE,16.77
2500,10.9,B,MORTGAGE,8.47
15000,19.03,D,RENT,9.8
10000,6.72,A,RENT,23.86
16000,9.44,B,RENT,13.06
9000,5.31,A,RENT,9.01
24000,14.07,C,MORTGAGE,23.08
7000,13.58,C,MORTGAGE,10.85
10000,14.08,C,MORTGAGE,29.68
5000,9.43,B,RENT,9.23
17000,10.91,B,OWN,28.75
4000,16.02,C,RENT,23.02
18000,18.06,D,RENT,1.2
9000,5.31,A,MORTGAGE,10.12
18300,11.99,B,RENT,16.31
16000,28.72,F,MORTGAGE,25.67
15600,16.01,C,MORTGAGE,5.81
6000,10.91,B,RENT,23.6
24000,12.62,C,RENT,1.85
10000,22.91,E,RENT,3.41
7500,17.09,D,OWN,22.87
16000,10.42,B,MORTGAGE,15.57
12150,7.97,A,MORTGAGE,11.37
10000,14.08,C,MORTGAGE,9.38
10000,7.34,A,RENT,11.3
29500,7.34,A,MORTGAGE,20.37
10000,11.99,B,OWN,15.97
12800,11.99,B,RENT,12.84
6000,10.91,B,MORTGAGE,20.66
25000,9.44,B,MORTGAGE,34.84
6000,6.72,A,RENT,5.95
32000,18.45,D,RENT,13.79
16800,10.42,B,MORTGAGE,11.07
16000,17.09,D,RENT,5.6
10000,16.01,C,RENT,23.88
10000,15.04,C,OWN,20.23
10000,30.17,F,MORTGAGE,8.1
8000,7.97,A,RENT,5.53
12000,9.44,B,OWN,20.48
10000,12.61,C,OWN,21.14
23000,16.02,C,RENT,17.27
40000,14.08,C,MORTGAGE,20.05
22900,10.91,B,MORTGAGE,6.37
13500,17.47,D,MORTGAGE,5.01
30000,17.09,D,MORTGAGE,34.44
20000,17.47,D,MORTGAGE,1.75
24000,10.42,B,OWN,18.36
6000,10.91,B,MORTGAGE,4.01
10000,6.07,A,MORTGAGE,38.05
11000,16.02,C,RENT,15.1
16000,22.91,E,MORTGAGE,19.54
5775,11.99,B,RENT,11.2
10000,12.61,C,RENT,10.23
16000,19.03,D,RENT,7.27
35000,15.04,C,RENT,17.81
40000,6.07,A,RENT,28.04
12000,14.08,C,MORTGAGE,12.55
14000,10.9,B,MORTGAGE,55.73
8000,6.07,A,MORTGAGE,2.38
14000,10.91,B,RENT,21.3
